"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2023","1,043.20","1,061.00","1,061.00","1,042.00","571.72K","-1.68%"
"03/30/2023","1,061.00","1,074.60","1,084.80","1,058.00","1.30M","-1.27%"
"03/29/2023","1,074.60","1,040.60","1,078.40","1,035.40","1.79M","3.53%"
"03/28/2023","1,038.00","1,041.40","1,044.00","1,033.00","269.09K","-0.17%"
"03/27/2023","1,039.80","1,036.20","1,042.60","1,032.20","410.74K","0.50%"
"03/24/2023","1,034.60","1,041.60","1,043.00","1,028.00","360.85K","-0.44%"
"03/23/2023","1,039.20","1,046.00","1,049.60","1,038.00","289.63K","-0.73%"
"03/22/2023","1,046.80","1,036.20","1,053.80","1,033.20","415.70K","0.79%"
"03/21/2023","1,038.60","1,065.00","1,065.00","1,034.20","618.43K","-2.02%"
"03/20/2023","1,060.00","1,036.20","1,062.00","1,030.00","897.83K","2.55%"
"03/17/2023","1,033.60","1,033.00","1,039.80","1,023.00","671.77K","0.51%"
"03/16/2023","1,028.40","1,015.40","1,031.80","1,002.00","856.84K","0.88%"
"03/15/2023","1,019.40","1,036.00","1,040.00","1,010.80","844.08K","-1.60%"
"03/14/2023","1,036.00","1,041.40","1,044.80","1,035.00","554.68K","-0.58%"
"03/13/2023","1,042.00","1,053.00","1,059.60","1,033.80","723.20K","-0.97%"
"03/10/2023","1,052.20","1,048.00","1,061.80","1,044.60","637.77K","-0.04%"
"03/09/2023","1,052.60","1,060.00","1,064.00","1,048.20","437.91K","-0.30%"
"03/07/2023","1,055.80","1,053.00","1,060.00","1,045.20","519.46K","0.27%"
"03/06/2023","1,053.00","1,067.00","1,070.20","1,049.20","683.46K","-0.98%"
"03/03/2023","1,063.40","1,050.00","1,065.00","1,046.20","400.02K","1.37%"
"03/02/2023","1,049.00","1,061.00","1,072.00","1,032.00","1.09M","-1.08%"
"03/01/2023","1,060.40","1,057.00","1,066.20","1,047.20","647.38K","0.51%"
"02/28/2023","1,055.00","1,064.00","1,074.80","1,050.00","1.03M","-0.57%"
"02/27/2023","1,061.00","1,039.00","1,062.00","1,030.60","1.12M","1.86%"
"02/24/2023","1,041.60","1,025.80","1,043.00","1,021.60","993.88K","1.54%"
"02/22/2023","1,025.80","1,012.80","1,032.00","1,004.00","1.30M","1.28%"
"02/21/2023","1,012.80","985.80","1,018.40","981.00","1.38M","2.82%"
"02/20/2023","985.00","980.00","988.60","958.00","714.83K","0.96%"
"02/17/2023","975.60","971.00","988.20","957.40","622.29K","0.18%"
"02/16/2023","973.80","968.00","989.00","956.40","985.56K","0.95%"
"02/15/2023","964.60","991.60","998.40","948.40","1.48M","-3.15%"
"02/14/2023","996.00","1,017.00","1,019.60","991.40","926.91K","-1.97%"
"02/13/2023","1,016.00","1,020.00","1,038.40","1,015.00","724.12K","-0.45%"
"02/10/2023","1,020.60","1,008.00","1,027.00","1,000.00","894.15K","1.19%"
"02/09/2023","1,008.60","980.60","1,019.00","971.00","1.63M","2.69%"
"02/08/2023","982.20","999.00","1,009.40","981.00","1.36M","-1.78%"
"02/07/2023","1,000.00","1,040.60","1,045.00","992.20","1.74M","-3.38%"
"02/06/2023","1,035.00","1,016.20","1,048.00","1,006.00","1.51M","1.85%"
"02/03/2023","1,016.20","992.20","1,025.00","981.40","1.43M","1.91%"
"02/02/2023","997.20","981.60","1,014.40","960.60","1.86M","2.11%"
"02/01/2023","976.60","931.00","977.00","925.80","1.66M","5.12%"
"01/31/2023","929.00","913.00","932.00","911.80","998.96K","1.77%"
"01/30/2023","912.80","896.60","917.60","894.00","688.13K","1.94%"
"01/27/2023","895.40","882.00","896.00","878.60","488.94K","1.59%"
"01/26/2023","881.40","876.00","883.80","871.40","306.49K","0.71%"
"01/25/2023","875.20","871.20","879.20","868.20","444.43K","0.00%"
"01/24/2023","875.20","894.00","898.00","872.00","442.75K","-1.88%"
"01/23/2023","892.00","887.00","893.80","882.20","333.78K","0.47%"
