"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2023","129.32","130.60","130.60","128.36","3.54M","-0.98%"
"03/30/2023","130.60","132.30","133.44","129.80","4.85M","-0.94%"
"03/29/2023","131.84","128.00","134.44","127.10","10.37M","3.37%"
"03/28/2023","127.54","128.58","128.94","126.56","2.27M","-0.50%"
"03/27/2023","128.18","127.00","128.42","126.86","2.81M","1.33%"
"03/24/2023","126.50","126.20","126.50","125.40","1.26M","0.24%"
"03/23/2023","126.20","125.00","126.54","123.92","2.88M","0.88%"
"03/22/2023","125.10","125.98","126.32","125.00","1.49M","-0.78%"
"03/21/2023","126.08","128.24","128.58","125.12","3.45M","-1.18%"
"03/20/2023","127.58","125.40","128.00","124.42","5.78M","1.98%"
"03/17/2023","125.10","125.02","125.96","124.32","3.99M","0.77%"
"03/16/2023","124.14","123.80","124.32","120.80","3.42M","0.26%"
"03/15/2023","123.82","125.94","126.42","122.50","3.35M","-1.50%"
"03/14/2023","125.70","125.00","126.26","124.02","2.72M","0.62%"
"03/13/2023","124.92","127.00","127.20","124.02","4.50M","-1.36%"
"03/10/2023","126.64","125.90","127.20","125.40","2.66M","0.14%"
"03/09/2023","126.46","126.40","127.22","125.22","2.63M","0.06%"
"03/07/2023","126.38","126.90","127.40","125.70","3.38M","-0.46%"
"03/06/2023","126.96","128.50","129.10","126.60","5.01M","-1.06%"
"03/03/2023","128.32","126.20","128.54","125.30","2.94M","1.73%"
"03/02/2023","126.14","127.90","128.90","124.32","6.61M","-1.44%"
"03/01/2023","127.98","125.98","128.52","125.14","5.70M","2.22%"
"02/28/2023","125.20","124.20","126.00","123.80","5.40M","0.92%"
"02/27/2023","124.06","119.88","124.64","117.84","6.00M","3.38%"
"02/24/2023","120.00","121.32","122.44","118.90","3.08M","-0.78%"
"02/22/2023","120.94","122.02","122.38","119.56","4.05M","-0.69%"
"02/21/2023","121.78","117.88","122.00","117.72","6.03M","3.33%"
"02/20/2023","117.86","117.22","118.34","114.40","3.84M","0.36%"
"02/17/2023","117.44","116.88","118.60","115.74","4.33M","-0.47%"
"02/16/2023","118.00","118.40","120.34","115.46","5.49M","0.34%"
"02/15/2023","117.60","122.50","122.58","115.20","6.67M","-4.34%"
"02/14/2023","122.94","126.26","126.66","122.76","4.20M","-2.97%"
"02/13/2023","126.70","125.04","127.48","125.02","4.23M","1.36%"
"02/10/2023","125.00","122.04","125.70","121.72","7.15M","2.04%"
"02/09/2023","122.50","119.30","123.24","118.34","4.59M","2.68%"
"02/08/2023","119.30","121.90","122.42","119.10","3.49M","-2.08%"
"02/07/2023","121.84","123.22","123.90","120.80","3.42M","-1.30%"
"02/06/2023","123.44","120.40","123.68","119.82","5.09M","2.63%"
"02/03/2023","120.28","120.22","120.68","118.10","4.16M","0.05%"
"02/02/2023","120.22","119.80","120.88","118.00","5.56M","1.06%"
"02/01/2023","118.96","117.00","120.00","116.50","5.21M","1.85%"
"01/31/2023","116.80","115.40","116.98","114.80","2.92M","1.42%"
"01/30/2023","115.16","113.76","115.38","113.76","3.01M","1.23%"
"01/27/2023","113.76","112.38","113.98","112.22","2.29M","1.25%"
"01/26/2023","112.36","111.76","113.16","111.24","1.87M","0.64%"
"01/25/2023","111.64","111.26","112.10","110.72","1.70M","0.34%"
"01/24/2023","111.26","111.82","112.80","111.08","1.77M","-0.68%"
"01/23/2023","112.02","112.30","112.46","111.28","1.60M","0.04%"
"01/20/2023","111.98","111.80","112.28","110.88","1.82M","0.43%"
"01/19/2023","111.50","111.50","112.46","110.58","2.79M","-0.04%"
"01/18/2023","111.54","111.30","113.30","110.84","3.26M","0.14%"
"01/17/2023","111.38","114.38","114.52","111.00","4.75M","-2.55%"
"01/16/2023","114.30","112.20","114.48","112.20","4.36M","1.91%"
"01/13/2023","112.16","111.50","112.30","110.70","2.00M","0.59%"
"01/12/2023","111.50","112.16","112.40","110.22","2.32M","-0.54%"
"01/11/2023","112.10","109.00","112.28","109.00","3.47M","2.64%"
"01/10/2023","109.22","109.90","110.18","108.64","3.62M","-1.07%"
"01/09/2023","110.40","111.90","112.38","109.80","4.64M","-0.84%"
"01/06/2023","111.34","112.28","112.50","111.18","1.90M","-0.64%"
"01/05/2023","112.06","112.30","112.66","110.88","2.31M","-0.25%"
"01/04/2023","112.34","114.58","114.62","111.82","4.18M","-1.77%"
"01/03/2023","114.36","113.00","115.20","112.70","6.51M","-2.89%"
"12/30/2022","117.76","115.68","118.32","115.24","4.21M","2.19%"
"12/29/2022","115.24","115.10","115.96","114.50","1.55M","-0.28%"
